,ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
0,AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,1610,-6.082,145.392
2,AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,7,-5.207,145.789
3,AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,1643,-5.826,144.296
4,AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,73,-6.57,146.726
5,AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,45,-9.443,147.22
7,AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,6,-3.584,143.669
11,BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61,9,40,N,45,25,39,W,35,61.161,-45.427
21,BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64,11,27,N,51,40,41,W,87,64.191,-51.678
27,BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69,14,0,N,51,4,0,W,34,69.233,-51.067
29,BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65,35,0,N,37,9,0,W,34,65.583,-37.15
39,BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67,1,1,N,50,41,21,W,51,67.017,-50.689
42,BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76,31,52,N,68,42,11,W,77,76.531,-68.703
47,BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65,39,35,N,18,4,21,W,2,65.66,-18.072
50,BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65,17,0,N,14,24,5,W,24,65.283,-14.401
53,BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64,17,44,N,15,13,38,W,8,64.296,-15.227
54,BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65,57,8,N,17,25,33,W,14,65.952,-17.426
55,BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66,3,29,N,23,8,7,W,3,66.058,-23.135
56,BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63,59,6,N,22,36,20,W,53,63.985,-22.606
57,BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66,18,49,N,16,27,40,W,7,66.314,-16.461
60,BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65,33,21,N,23,57,54,W,4,65.556,-23.965
62,BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64,7,48,N,21,56,26,W,15,64.13,-21.941
63,BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66,8,0,N,18,55,0,W,4,66.133,-18.917
68,BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63,25,27,N,20,16,43,W,100,63.424,-20.279
86,CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46,29,6,N,84,30,34,W,193,46.485,-84.509
87,CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50,3,23,N,97,1,57,W,232,50.056,-97.032
88,CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44,38,23,N,63,29,58,W,51,44.64,-63.499
89,CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51,23,30,N,56,5,4,W,29,51.392,-56.084
90,CYAZ,YAZ,TOFINO,TOFINO,CANADA,49,4,56,N,125,46,21,W,25,49.082,-125.772
92,CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68,32,4,N,89,48,29,W,18,68.534,-89.808
93,CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49,7,56,N,68,12,26,W,22,49.132,-68.207
94,CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48,19,50,N,70,59,47,W,160,48.331,-70.996
95,CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64,17,56,N,96,4,40,W,18,64.299,-96.078
96,CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49,57,3,N,125,16,15,W,106,49.951,-125.271
97,CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49,54,36,N,99,57,7,W,410,49.91,-99.952
100,CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69,6,29,N,105,8,18,W,28,69.108,-105.138
101,CYCD,YCD,NANAIMO,NANAIMO,CANADA,49,3,8,N,123,52,12,W,29,49.052,-123.87
102,CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,49,17,47,N,117,37,57,W,495,49.296,-117.632
103,CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47,0,28,N,65,26,57,W,33,47.008,-65.449
104,CYCL,YCL,CHARLO,CHARLO,CANADA,47,59,26,N,66,19,53,W,41,47.991,-66.331
105,CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67,49,0,N,115,8,38,W,23,67.817,-115.144
107,CYCT,YCT,CORONATION,CORONATION,CANADA,52,4,30,N,111,26,43,W,791,52.075,-111.445
109,CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49,9,10,N,121,56,20,W,10,49.153,-121.939
111,CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70,29,10,N,68,31,0,W,27,70.486,-68.517
112,CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50,19,55,N,115,52,25,W,811,50.332,-115.874
