,IATA Code,Airport Name,Latitude Decimal Degrees,Longitude Decimal Degrees,City
0,GKA,GOROKA,-6.082,145.392,goroka
1,MAG,MADANG,-5.207,145.789,madang
2,HGU,MOUNT HAGEN,-5.826,144.296,mount hagen
3,LAE,NADZAB,-6.57,146.726,nadzab
4,POM,PORT MORESBY JACKSONS INTERNATIONAL,-9.443,147.22,port moresby
5,WWK,WEWAK INTERNATIONAL,-3.584,143.669,wewak
6,UAK,NARSARSUAQ,61.161,-45.427,narssarssuaq
7,GOH,NUUK,64.191,-51.678,godthaab
8,JAV,JACOBSHAVN,69.233,-51.067,jakobshavn
9,KUS,KULUSUK,65.583,-37.15,kulusuk
10,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,67.017,-50.689,sondrestrom
11,THU,THULE AIR BASE,76.531,-68.703,thule
12,AEY,AKUREYRI,65.66,-18.072,akureyri
13,EGS,EGILSSTADIR,65.283,-14.401,egilsstadir
14,HFN,HORNAFJORDUR,64.296,-15.227,hofn
15,HZK,HUSAVIK,65.952,-17.426,husavik
16,IFJ,ISAFJORDUR,66.058,-23.135,isafjordur
17,KEF,KEFLAVIK NAS,63.985,-22.606,keflavik
18,OPA,KOPASKER,66.314,-16.461,kopasker
19,PFJ,PATREKSFJORDUR,65.556,-23.965,patreksfjordur
20,RKV,REYKJAVIK,64.13,-21.941,reykjavik
21,SIJ,SIGLUFJORDHUR,66.133,-18.917,siglufjordur
22,VEY,VESTMANNAEYJAR,63.424,-20.279,vestmannaeyjar
23,YAM,SAULT STE MARIE,46.485,-84.509,sault sainte marie
24,YAV,WINNIPEG ST ANDREWS,50.056,-97.032,winnipeg
25,YAW,SHEARWATER,44.64,-63.499,halifax
26,YAY,ST ANTHONY,51.392,-56.084,st. anthony
27,YAZ,TOFINO,49.082,-125.772,tofino
28,YBB,KUGAARUK,68.534,-89.808,pelly bay
29,YBC,BAIE COMEAU,49.132,-68.207,baie comeau
30,YBG,BAGOTVILLE,48.331,-70.996,bagotville
31,YBK,BAKER LAKE,64.299,-96.078,baker lake
32,YBL,CAMPBELL RIVER,49.951,-125.271,campbell river
33,YBR,BRANDON MUNI,49.91,-99.952,brandon
34,YCB,CAMBRIDGE BAY,69.108,-105.138,cambridge bay
35,YCD,NANAIMO,49.052,-123.87,nanaimo
36,YCG,CASTLEGAR,49.296,-117.632,castlegar
37,YCH,MIRAMICHI,47.008,-65.449,chatham
38,YCL,CHARLO,47.991,-66.331,charlo
39,YCO,KUGLUKTUK,67.817,-115.144,coppermine
40,YCT,CORONATION,52.075,-111.445,coronation
41,YCW,CHILLIWACK,49.153,-121.939,chilliwack
42,YCY,CLYDE RIVER,70.486,-68.517,clyde river
43,YZS,FAIRMONT HOT SPRINGS,50.332,-115.874,coral harbour
44,YDA,DAWSON,64.043,-139.128,dawson
45,YDB,BURWASH,61.371,-139.041,burwash
46,YDC,PRINCETON,49.468,-120.512,princeton
47,YDF,DEER LAKE,49.211,-57.391,deer lake
48,YDL,DEASE LAKE,58.422,-130.032,dease lake
49,YDN,DAUPHIN BARKER,51.101,-100.052,dauphin
50,YDQ,DAWSON CREEK,55.742,-120.182,dawson creek
51,YED,EDMONTON NAMAO,53.667,-113.467,edmonton
52,YEG,EDMONTON INTERNATIONAL,53.31,-113.58,edmonton
53,YEK,ARVIAT,61.094,-94.071,eskimo point
54,YEN,ESTEVAN,49.21,-102.966,estevan
55,YET,EDSON,53.579,-116.465,edson
56,YEU,EUREKA,79.995,-85.813,eureka
57,YEV,INUVIK MIKE ZUBKO,68.304,-133.483,inuvik
58,YFB,IQALUIT,63.756,-68.556,iqaluit
59,YFC,FREDERICTON,45.869,-66.532,fredericton
60,YFO,FLIN FLON,54.678,-101.682,flin flon
61,YFR,FORT RESOLUTION,61.181,-113.69,fort resolution
62,YFS,FORT SIMPSON,61.76,-121.237,fort simpson
63,YGK,KINGSTON,44.225,-76.597,kingston
64,YGL,LA GRANDE RIVIERE,53.625,-77.704,la grande riviere
65,YGP,GASPE,48.775,-64.479,gaspe
66,YGQ,GERALDTON GREENSTONE REGIONAL,49.778,-86.939,geraldton
67,YGR,ILES DE LA MADELEINE,47.425,-61.778,iles de la madeleine
68,YGW,KUUJJUARAPIK,55.283,-77.767,kuujjuararapik
69,YGX,GILLAM,56.35,-94.7,gillam
70,YHB,HUDSON BAY,52.817,-102.311,hudson bay
71,YHD,DRYDEN RGNL,49.832,-92.744,dryden
72,YHI,HOLMAN,70.763,-117.806,holman island
73,YHK,GJOA HAVEN,68.636,-95.85,gjoa haven
74,YHM,HAMILTON,43.173,-79.935,hamilton
75,YHU,ST HUBERT,45.517,-73.417,montreal
76,YHY,HAY RIVER,60.84,-115.783,hay river
77,YHZ,HALIFAX INTERNATIONAL,44.881,-63.509,halifax
78,YIB,ATIKOKAN MUNI,48.774,-91.639,atikokan
79,YIO,POND INLET,72.683,-77.967,pond inlet
80,YJN,ST JEAN,45.294,-73.281,st. jean
81,YJT,STEPHENVILLE,48.544,-58.55,stephenville
82,YKA,KAMLOOPS,50.702,-120.442,kamloops
83,YKF,WATERLOO RGNL,43.459,-80.384,waterloo
84,YKL,SCHEFFERVILLE,54.805,-66.805,schefferville
85,YKY,KINDERSLEY,51.517,-109.181,kindersley
86,YKZ,BUTTONVILLE MUNI,43.862,-79.37,toronto
87,YLD,CHAPLEAU,47.82,-83.346,chapleau
88,YLJ,MEADOW LAKE,54.125,-108.523,meadow lake
89,YLL,LLOYDMINSTER,53.309,-110.072,lloydminster
90,YLT,ALERT,82.518,-62.281,alert
91,YLW,KELOWNA,49.956,-119.378,kelowna
92,YMA,MAYO,63.617,-135.867,mayo
93,YMJ,MOOSE JAW,50.33,-105.559,moose jaw
94,YMM,FORT MCMURRAY,56.653,-111.222,fort mcmurray
95,YMO,MOOSONEE,51.291,-80.608,moosonee
96,YMW,MANIWAKI,46.274,-75.99,maniwaki
97,YMX,MONTREAL INTERNATIONAL MIRABEL,45.68,-74.039,montreal
98,YNA,NATASHQUAN,50.19,-61.789,natashquan
99,YND,GATINEAU,45.521,-75.564,gatineau
100,YNM,MATAGAMI,49.762,-77.803,matagami
101,YOC,OLD CROW,67.571,-139.839,old crow
102,YOD,COLD LAKE,54.405,-110.279,cold lake
103,YOJ,HIGH LEVEL,58.621,-117.165,high level
104,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,45.323,-75.669,ottawa
105,YPA,PRINCE ALBERT GLASS FIELD,53.214,-105.673,prince albert
106,YPE,PEACE RIVER,56.227,-117.447,peace river
107,YPG,SOUTHPORT,49.903,-98.275,portage-la-prairie
108,YPL,PICKLE LAKE,51.446,-90.214,pickle lake
109,YPN,PORT MENIER,49.836,-64.289,port menier
110,YPQ,PETERBOROUGH,44.23,-78.363,peterborough
111,YPR,PRINCE RUPERT,54.286,-130.445,prince pupert
112,YPY,FORT CHIPEWYAN,58.767,-111.117,fort chipewyan
113,YQA,MUSKOKA,44.975,-79.303,muskoka
114,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,46.788,-71.398,quebec
115,YQF,RED DEER REGIONAL,52.179,-113.893,red deer industrial
116,YQG,WINDSOR,42.276,-82.956,windsor
117,YQH,WATSON LAKE,60.118,-128.822,watson lake
118,YQK,KENORA,49.788,-94.363,kenora
119,YQL,LETHBRIDGE,49.63,-112.8,lethbridge
120,YQM,GREATER MONCTON INTERNATIONAL,46.112,-64.679,moncton
121,YQQ,COMOX,49.711,-124.887,comox
122,YQR,REGINA INTERNATIONAL,50.432,-104.666,regina
123,YQT,THUNDER BAY,48.372,-89.324,thunder bay
124,YQU,GRANDE PRAIRIE,55.18,-118.885,grande prairie
125,YQV,YORKTON MUNI,51.265,-102.462,yorkton
126,YQW,NORTH BATTLEFORD,52.769,-108.244,north battleford
127,YQX,GANDER INTERNATIONAL,48.937,-54.568,gander
128,YQY,SYDNEY,46.161,-60.048,sydney
129,YQZ,QUESNEL,53.026,-122.51,quesnel
130,YRB,RESOLUTE BAY,74.717,-94.969,resolute
131,YRI,RIVIERE DU LOUP,47.764,-69.585,riviere du loup
132,YRJ,ROBERVAL,48.52,-72.266,roberval
133,YRM,ROCKY MOUNTAIN HOUSE,52.43,-114.904,rocky mountain house
134,YRT,RANKIN INLET,62.811,-92.116,rankin inlet
135,YSB,SUDBURY,46.625,-80.799,sudbury
136,YSC,SHERBROOKE,45.438,-71.691,sherbrooke
137,YSJ,SAINT JOHN,45.316,-65.89,st. john
138,YSM,FORT SMITH,60.022,-111.96,fort smith
139,YSR,NANISIVIK,72.982,-84.614,nanisivik
140,YSU,SUMMERSIDE,46.443,-63.831,summerside
141,YSY,SACHS HARBOUR,71.994,-125.243,sachs harbour
142,YTE,CAPE DORSET,64.23,-76.527,cape dorset
143,YTH,THOMPSON,55.801,-97.864,thompson
144,YTR,TRENTON,44.119,-77.528,trenton
145,YTS,TIMMINS,48.57,-81.377,timmins
146,YTZ,CITY CENTRE,43.627,-79.396,toronto
147,YUB,TUKTOYAKTUK,69.433,-133.026,tuktoyaktuk
148,YUL,MONTREAL INTERNATIONAL DORVAL,45.468,-73.741,montreal
149,YUT,REPULSE BAY,66.521,-86.225,repulse bay
150,YUX,HALL BEACH,68.776,-81.244,hall beach
151,YUY,ROUYN NORANDA,48.206,-78.836,rouyn
152,YVC,LA RONGE,55.151,-105.262,la ronge
153,YVG,VERMILION,53.356,-110.824,vermillion
154,YVM,QIKIQTARJUAQ,67.546,-64.031,broughton island
155,YVO,VAL D OR,48.053,-77.783,val d'or
156,YVP,KUUJJUAQ,58.096,-68.427,quujjuaq
157,YVQ,NORMAN WELLS,65.282,-126.8,norman wells
158,YVR,VANCOUVER INTERNATIONAL,49.195,-123.182,vancouver
159,YVT,BUFFALO NARROWS,55.842,-108.418,buffalo narrows
160,YVV,WIARTON,44.746,-81.107,wiarton
161,YWA,PETAWAWA,45.952,-77.319,petawawa
162,YWG,WINNIPEG INTERNATIONAL,49.91,-97.234,winnipeg
163,YWK,WABUSH,52.922,-66.864,wabush
164,YWL,WILLIAMS LAKE,52.183,-122.054,williams lake
165,YWY,WRIGLEY,63.209,-123.437,wrigley
166,YXC,CRANBROOK,49.61,-115.782,cranbrook
167,YXD,EDMONTON CITY CENTRE,53.573,-113.521,edmonton
168,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,52.171,-106.7,saskatoon
169,YXH,MEDICINE HAT,50.019,-110.721,medicine hat
170,YXJ,FORT ST JOHN,56.238,-120.74,fort saint john
171,YXL,SIOUX LOOKOUT,50.114,-91.904,sioux lookout
172,YXP,PANGNIRTUNG,66.145,-65.714,pangnirtung
173,YXR,TIMISKAMING RGNL,47.695,-79.849,earlton
174,YXS,PRINCE GEORGE,53.889,-122.679,prince george
175,YXT,TERRACE,54.466,-128.577,terrace
176,YXU,LONDON,43.036,-81.154,london
177,YXX,ABBOTSFORD,49.025,-122.363,abbotsford
178,YXY,WHITEHORSE INTERNATIONAL,60.709,-135.068,whitehorse
179,YYB,NORTH BAY,46.364,-79.423,north bay
180,YYC,CALGARY INTERNATIONAL,51.114,-114.02,calgary
181,YYD,SMITHERS,54.825,-127.183,smithers
182,YYE,FORT NELSON,58.836,-122.597,fort nelson
183,YYF,PENTICTON,49.463,-119.602,penticton
184,YYG,CHARLOTTETOWN,46.29,-63.121,charlottetown
185,YYH,TALOYOAK,69.547,-93.577,spence bay
